event	TDC0	TDC1
1	1671094	1671205
2	2049261	2049356
3	679794	680050
4	553606	553789
5	430324	430425
6	1310708	1310784
7	454385	454523
8	487053	487138
9	1656645	1656769
10	1727705	1728114
11	827975	827734
12	1632611	1632757
13	499125	499467
14	321844	322414
16	2033329	2033473
17	1346947	1346926
18	424457	424511
19	1313091	1313230
20	180123	180406
26	1540741	1540864
27	1136512	1136638
28	470591	470719
29	411863	412429
30	1012550	1012617
31	702401	702502
32	2066062	2066317
33	501782	501735
34	1842650	1842385
35	440865	440953
36	1226325	1226481
37	1687355	1687463
38	1241030	1241159
39	514368	514302
40	686296	686449
41	1663727	1663814
42	1608736	1608839
43	725049	725155
44	246198	246287
45	374794	374883
46	463494	463560
47	2017959	2018103
48	116382	116473
49	1101707	1101430
50	1969360	1969529
52	371098	371220
53	1084613	1084721
54	660560	660673
55	1918032	1918124
56	1321239	1321358
57	1678756	1679052
58	251916	252020
59	1697265	1697391
60	1979347	1979563
61	2007473	2007648
62	715881	716011
63	468183	468202
64	559074	559116
65	1826506	1826633
66	1071590	1071713
67	165637	165294
68	754382	754470
69	157868	157849
70	2033527	2033590
71	1401716	1401918
72	367495	367648
73	1711193	1711302
74	1135280	1135341
75	1675384	1675658
76	343636	343733
77	1267391	1267682
78	1937414	1937476
79	1152109	1152266
80	614882	614833
81	787029	787156
82	1817091	1817253
83	1206122	1206250
84	1214657	1214739
85	333275	333389
86	1285795	1285865
87	1209945	1209991
88	1571783	1571810
89	2095832	2095919
90	1388099	1388233
91	253826	253962
92	767160	767328
93	619027	619090
94	29031	29150
95	675783	675881
96	235459	235581
97	1743520	1743637
98	67128	67218
99	829156	829321
100	1114426	1114608
101	2011806	2011870
103	1432908	1433034
104	1744862	1744636
105	798320	798430
106	242353	242459
107	1698625	1698734
108	572985	573055
109	340504	340588
110	1457593	1457615
111	1364205	1364321
112	1550422	1550545
113	1140959	1141087
114	1707504	1707646
115	1693309	1693427
116	628973	629065
117	1896951	1897035
118	1656371	1656503
119	1743869	1743963
