event	TDC0	TDC1
1	1218529	1218453
2	144841	145000
3	1147865	1147961
4	1385821	1386048
5	1480597	1480558
6	484056	484029
7	247910	248221
8	60536	60480
9	748781	748743
10	785112	785069
11	139157	139112
12	2030772	2030725
13	365018	365270
14	2051233	2051568
15	1176315	1176266
16	1895033	1895071
17	130883	130831
18	807542	807456
19	409462	409421
20	2008910	2008853
21	1820607	1820964
22	984858	984785
23	147124	147067
24	1520247	1520183
25	446567	446529
26	1846917	1847238
27	1550919	1551191
28	510507	510299
29	736031	735996
30	570888	570786
31	1655234	1655512
32	306525	306488
33	767882	767877
34	253855	253859
35	1279262	1279232
36	703631	703585
37	747764	747698
39	2025492	2025438
40	1550337	1550260
41	773872	774209
42	602136	602429
43	1181173	1181077
44	1583489	1583422
45	1621782	1621680
46	1161394	1161372
47	1048172	1048171
48	703429	703378
49	1612432	1612399
50	517906	517888
51	1530168	1530140
52	2087021	2087342
53	824023	823984
54	1175131	1175039
55	166612	166589
56	1766359	1766707
57	1421464	1421374
58	494239	494409
59	406624	406620
60	1446884	1446850
61	714268	714205
62	597238	597507
63	1671283	1670907
64	550198	550125
66	596965	596911
67	937798	937738
68	765355	765288
69	1774956	1774906
70	1661839	1661825
71	973638	973592
72	557017	556961
73	1621737	1621728
74	217146	217133
75	687334	687126
76	1396850	1396812
77	1710570	1710557
78	1386742	1386711
79	806025	806007
80	241609	241561
81	1425907	1425864
82	354864	354822
83	220437	220376
84	207838	208265
85	1832891	1833212
86	187508	187467
87	1415036	1415018
88	1423422	1423771
89	1089667	1089953
90	1644959	1644918
91	1556353	1556278
92	1893351	1893633
93	1221676	1221962
94	1812798	1812779
95	755219	755197
96	1070021	1070023
97	1817370	1817368
98	1819132	1819098
99	1925343	1925678
100	223307	223244
101	1012155	1012423
102	383390	383375
104	1869516	1869842
105	683003	683320
106	270724	271060
107	1195564	1195517
108	1609905	1609848
109	1831220	1831138
110	332786	332784
111	329521	329825
112	1551616	1551967
114	58513	58793
115	444398	444358
116	2009712	2009689
117	1203411	1203354
118	435921	436224
119	1346128	1346103
120	205352	205274
121	2085148	2085111
122	618553	618549
123	1880148	1880426
124	811232	811198
125	1422705	1422621
126	1393085	1393061
127	358612	358576
128	428521	428456
129	1389890	1389939
130	1047269	1047212
131	472785	472744
132	533196	533180
133	313389	313660
134	2081551	2081456
135	714139	714134
136	1105975	1105923
137	354835	354789
138	1472254	1472233
139	1359731	1359677
140	590379	590352
141	443401	443350
142	1011219	1011222
143	353269	353232
144	167136	167283
145	1160373	1160362
146	1375424	1375418
147	853016	853358
148	308609	308562
150	1874469	1874434
151	1274783	1274720
152	1450278	1450611
153	1165691	1165568
154	816345	816321
155	416740	416735
156	1275333	1275643
157	1441108	1440907
158	1294804	1294762
159	621013	621093
160	773624	773553
161	121968	122349
162	853775	853720
163	477642	477584
164	590162	590134
165	1579832	1579933
166	1255979	1255939
167	1504600	1504545
168	424224	424195
169	1388046	1388001
170	1993036	1993305
171	2085490	2085433
172	350417	350646
173	880816	880766
174	1297945	1298064
176	604061	604406
177	276464	276837
178	829478	829446
181	866427	866369
182	1864585	1864531
183	1757778	1757725
184	1480903	1480827
186	1777414	1777364
187	212522	212472
188	718117	718062
189	1078762	1078743
190	1274387	1274748
191	896815	896774
192	1932995	1932923
193	2063210	2063166
194	483879	484210
195	1934953	1935273
196	1452054	1452002
197	350879	350838
198	353783	353758
199	540954	541235
200	1070899	1070836
201	335102	334974
202	1543444	1543404
203	1433667	1433648
204	273586	273545
205	1442874	1442807
206	1675819	1675775
207	481536	481489
208	1614059	1614018
209	2035997	2035996
210	1047750	1047684
211	1564856	1564831
212	391423	391334
213	53878	54224
214	718967	718932
215	2026653	2026946
216	1442481	1442434
217	1480541	1480875
220	1131988	1131982
221	1115614	1115567
222	1851063	1851027
223	522156	522477
224	114417	113990
225	1589260	1589214
226	733817	733749
227	830580	830909
228	234422	234318
229	1966940	1967250
230	2009915	2009851
231	1366000	1365974
232	22060	22076
233	1475294	1475228
234	1741074	1741043
235	1868674	1868622
236	1451600	1451931
237	1129509	1129450
238	1892589	1892559
239	2085975	2086206
240	314224	314565
241	1013120	1013429
242	339799	340134
243	99818	99750
244	444701	444664
245	185867	185809
246	1870959	1870956
247	17818	17807
248	462164	462113
249	545970	546001
250	911032	911028
251	1488233	1488190
252	396384	396325
253	1825272	1825573
254	1528434	1528394
255	1469667	1469948
256	1587595	1587893
257	407444	407769
258	1303915	1304266
259	195064	195033
260	1390916	1390866
261	908433	908419
262	540388	540683
263	1367690	1367635
264	1037299	1037241
265	76567	76471
266	858267	858209
267	342512	342469
268	1188913	1189213
269	661605	661912
270	1610559	1610528
271	1848496	1848513
272	436468	436402
273	1867913	1867888
275	1260476	1260844
276	1017989	1017910
277	1299308	1299501
278	1423357	1423324
279	1870848	1871155
281	1635715	1636161
282	755318	755297
283	127102	127441
284	1657124	1657050
285	1363233	1363201
286	300089	299964
287	1037852	1037796
288	2065409	2065362
289	1436051	1435986
290	228271	228191
291	468774	468780
292	1967505	1967444
293	1707151	1707103
294	1627293	1627245
295	781501	781903
296	2026088	2026081
297	1456677	1456655
298	805257	805516
299	624767	625110
300	796895	796852
301	26347	26300
302	2076164	2076115
303	1607549	1607543
304	1292460	1292472
305	201376	201331
306	1474416	1474767
307	1817772	1817708
308	316835	316817
309	1193281	1193639
310	237941	237945
311	605093	604895
312	444656	444614
313	1926990	1927346
314	1835454	1835605
315	372295	372615
316	662813	663089
317	95207	95542
318	501724	501705
319	218691	218677
320	592129	592088
321	2074671	2074646
322	694682	694649
323	1382453	1382355
324	866718	866710
325	1555285	1555223
326	1443568	1443488
327	208212	208192
328	1968326	1968271
329	1768513	1768601
330	1629606	1629605
331	49661	49455
332	678232	678192
333	889854	889825
334	86977	86968
335	613708	613983
336	596660	596744
337	1055551	1055509
338	2076394	2076375
339	1465438	1465412
340	559470	559412
341	316405	316420
342	688335	688278
343	346367	346672
344	2001260	2001231
345	1906642	1906604
346	2051130	2051063
347	1920185	1920181
348	1469453	1469381
349	1056421	1056368
350	2088966	2088935
351	420955	420891
352	548349	548326
353	860124	860060
354	1941486	1941428
355	1213477	1213426
356	367296	367283
357	48852	48858
358	918283	918245
359	898245	898218
360	1357615	1357545
361	263394	263343
362	213688	213681
363	1355078	1355387
364	33337	33323
365	676738	676728
366	282116	282385
368	1318553	1318982
369	274516	274466
370	686610	686979
371	1979975	1980275
372	975226	975044
373	2039884	2039874
374	1580756	1581040
375	106379	106360
376	1983384	1983331
377	1278826	1278928
378	952682	952985
379	801062	801010
380	128540	128532
381	123828	123781
382	1293829	1293771
383	811726	811715
384	1502397	1502373
385	1218669	1218978
387	1254375	1254333
388	1953569	1953438
389	1265200	1265170
390	344855	344834
391	836798	837131
392	1618481	1618463
393	924393	924737
394	807396	807338
396	142759	143203
397	1706385	1706302
398	1115934	1115910
399	255411	255359
400	530762	530731
401	2004483	2004802
402	748455	748419
403	851043	851014
404	1533347	1533089
405	1622017	1622013
406	1113843	1114202
407	1378923	1378895
408	1040055	1040306
409	1944190	1944119
410	1782907	1782878
411	589819	589740
412	1832374	1832344
413	699212	699195
414	519469	519425
415	287527	287841
416	889378	889360
417	1289236	1289572
418	1951285	1951248
419	89779	89750
420	1169844	1169781
421	935728	935693
423	857250	857524
424	1876548	1876507
425	1694469	1694420
427	819294	819266
428	1730055	1730010
429	1895095	1895058
430	553859	554189
431	427086	427050
432	930328	930283
433	564879	564879
434	770251	770215
435	181612	181607
436	835069	835397
437	1424284	1424217
438	1249334	1249320
439	2045816	2046063
440	1838479	1838459
441	256907	256815
442	781022	781312
443	958682	958999
444	766363	766284
445	1736646	1737004
446	1433092	1433416
447	180197	180491
448	1083318	1083627
449	61824	61752
450	1305942	1305900
451	1556262	1556544
452	747072	747023
453	178777	178744
454	1939636	1939599
456	667768	668119
457	1908997	1908953
458	1355768	1355732
459	1098008	1097984
460	1658685	1658992
461	2061268	2061205
462	853506	853404
463	721737	721653
464	694922	695333
465	1719767	1720232
466	1366073	1366064
467	1554494	1554448
468	1694982	1695307
469	1330773	1330912
470	1647513	1647455
471	1841828	1842151
472	895429	895373
473	1998234	1998209
474	328844	329157
475	2028697	2028987
476	1220856	1220821
477	321669	321647
478	653493	653439
479	342098	342084
480	541392	541355
481	1846214	1846557
482	765366	765677
483	11694	11982
484	1599806	1599725
485	584663	584623
486	1353714	1353701
487	991065	991020
488	675992	675935
