event	TDC0	TDC1
1	28864	28773
2	580385	580678
3	1594589	1594484
5	1143489	1143415
6	531706	531592
7	730090	729999
8	1477935	1477784
9	352912	352823
10	237981	237876
11	1300918	1301214
12	50799	50719
13	1395938	1395791
14	1183253	1183191
15	743832	743701
16	339935	339885
17	1354258	1354177
18	1652026	1652226
19	1642965	1642906
20	1690121	1690050
21	572885	572777
22	1548600	1548528
23	1001099	1001032
24	824053	823563
25	1127955	1127858
26	1404049	1403963
27	157663	157526
28	1332491	1332436
29	1548877	1549141
30	1061110	1060970
31	1079450	1079693
32	484201	484128
33	970420	970358
34	1130766	1130689
35	1526893	1526826
36	596325	596528
38	211651	211568
39	175163	175052
41	524889	524817
44	1789403	1789302
45	1497841	1497767
46	419083	419017
48	1305526	1305296
49	1903871	1903786
50	773615	773532
51	845143	845088
52	1774141	1774068
53	1662202	1662138
54	1348653	1348614
55	252761	252998
56	1319190	1319407
57	564500	564426
58	1283430	1283288
59	1316536	1316483
60	1794285	1794168
61	1217268	1217168
62	553599	553515
63	1523001	1522889
64	291264	291192
65	1147484	1147391
66	804878	804788
67	2088802	2088738
68	1232093	1232005
69	2033006	2032921
70	448341	448571
71	1129234	1129172
72	1150370	1150282
73	713426	713349
74	1118415	1118654
75	818457	818372
76	1429462	1429392
77	650989	650873
78	632084	632019
79	1811564	1811500
80	640188	640131
81	1671093	1670984
82	1120736	1120622
83	1865166	1865094
84	151242	151467
85	1920709	1920651
86	41692	41619
87	1709346	1709264
88	716244	716187
89	594859	594736
90	297044	296955
91	1608794	1608710
92	1304401	1304336
93	1273059	1273006
94	1785504	1785497
95	1471642	1471562
96	763538	763441
97	808008	807911
98	1732501	1732365
99	46549	46677
100	1370178	1370100
101	811779	811695
102	1779396	1779339
103	595840	595714
104	1105636	1105581
105	1599437	1599357
106	1092900	1092842
107	1073414	1073716
108	1011549	1011458
109	1769918	1769854
110	1828679	1828630
111	1652073	1652033
112	541926	541828
113	896827	896727
114	696813	696751
115	72729	72628
116	399492	399435
117	1425431	1425353
118	1097975	1097894
119	1125098	1125044
120	1999605	1999529
121	573373	573269
122	149095	149016
123	1798785	1798681
124	1878902	1879192
125	25387	25303
126	1104343	1104548
128	135927	135833
129	1492547	1492439
130	380330	380273
131	1757122	1757405
132	1116060	1115965
133	2020212	2020135
134	1400911	1400833
135	1036147	1036070
136	1844068	1843976
137	319773	319701
138	1165601	1165457
139	719842	719755
140	2061360	2061289
141	1747070	1746991
142	1526673	1526576
143	193549	193469
145	2071738	2071593
146	1546381	1546679
148	728783	729062
149	903683	903609
151	1599600	1599536
152	843018	842948
153	1079895	1079796
154	784658	784560
155	1623875	1623810
156	222909	222851
157	830652	830565
158	1761788	1761699
159	1716269	1716537
160	202858	202776
161	1373454	1373368
162	1606938	1606855
163	1356399	1356336
164	1542410	1542645
165	784252	784545
166	649057	649326
167	1656631	1656586
168	345036	344966
169	967397	967283
170	552955	552693
171	956264	956481
172	798617	798563
173	727069	726992
174	1411618	1411918
175	944302	944531
176	1523628	1523558
177	1931560	1931469
178	825420	825341
179	1043250	1043177
180	1180857	1180792
181	1634457	1634628
182	403717	403637
183	1347487	1347390
184	1452126	1452034
185	1070151	1070075
186	1195906	1195853
187	1533487	1533359
188	1947273	1947557
189	1789519	1789444
190	1430370	1430664
191	1841176	1841133
192	152713	152586
193	1538338	1538240
194	1832143	1832079
195	112587	112497
196	1883696	1883566
197	1016579	1016508
198	1083531	1083737
199	589233	589174
200	620176	620071
201	435695	435634
202	342182	342100
204	831336	831271
205	1765903	1766159
206	764605	764886
207	1477756	1477696
208	771683	771603
209	2007407	2007296
210	622110	622020
211	1993347	1993319
212	2021322	2021257
213	177543	177840
214	1859645	1859545
215	56008	55903
216	71248	71138
217	1818115	1818013
218	1956413	1956673
219	219384	219452
220	239527	239453
221	1479251	1479193
222	1070094	1070375
223	10882	10787
224	982570	982548
225	1621720	1621607
226	1962822	1962753
227	867624	867924
228	169904	169849
229	577061	577017
230	1510787	1510703
231	1690345	1690287
233	850333	850209
234	840069	840020
235	650845	650775
237	54267	54241
238	731489	731735
239	689121	689048
240	1033693	1033638
241	1410137	1410057
242	1902570	1902483
243	1755082	1755018
244	1159668	1159579
246	387291	387222
247	675400	675297
248	425870	426089
249	713533	713444
250	1588185	1588470
251	1027767	1027668
252	1529511	1529429
253	1864420	1864293
254	1840770	1840710
255	19998	20245
256	322537	323115
258	906446	906675
259	1698141	1698051
260	542187	542070
261	724023	723934
263	1126919	1126826
264	812863	813072
266	1558471	1558390
267	1348495	1348382
268	1953445	1953343
269	2022813	2022738
270	1787659	1787549
271	1531871	1531793
273	1361113	1361274
274	605074	605025
275	1121662	1121607
276	584699	584603
277	419904	419789
278	1930397	1930341
279	306525	306464
280	1690802	1690986
281	432065	432002
282	1410932	1410774
283	2095153	2095062
284	1009728	1009646
285	2095269	2095176
286	361630	361538
287	818602	818553
289	1917063	1917330
290	1684120	1684020
291	621177	621107
292	1832660	1832595
293	102519	102404
294	965038	964934
295	607458	607363
296	1563346	1563274
297	147454	147337
298	1681717	1681682
299	76183	76090
300	410501	410428
301	142974	142925
302	1676606	1676463
303	1640683	1640565
304	2091479	2091457
306	82876	82794
307	1189916	1189847
308	648087	648017
309	88171	88125
310	329863	330085
311	754408	754655
312	2019632	2019527
313	2073736	2073628
314	632215	632478
315	1882639	1882550
316	2037250	2037168
317	2047513	2047422
318	616411	616357
320	1658182	1658102
321	1181812	1181706
