EVENT	TDC1	TRIG
3	82192	85622
31	613324	616763
46	2014925	2018354
57	327122	330521
60	301225	304684
68	1037266	1040710
69	1362690	1365791
71	1011108	1014492
74	501506	505181
76	474077	477485
104	384466	387980
112	1492667	1496105
119	1435171	1438546
146	1888791	1892222
159	123884	127235
182	1037523	1040901
184	1886119	1889219
192	1963357	1966971
196	632038	635342
229	1498148	1501593
253	1719933	1723307
257	136119	139529
265	1858025	1861380
282	116999	120420
289	548342	552160
290	1348962	1352371
321	1702722	1706139
328	274865	278610
331	852599	856037
341	340215	343636
345	1608813	1611891
358	953718	957069
369	1759481	1762792
385	461383	465043
391	439148	442498
395	1364357	1367751
399	546237	549655
409	1695227	1698266
411	2023468	2026926
431	1985381	1988728
448	1783808	1787579
452	735742	739072
472	1982598	1986236
474	121228	124603
477	295735	299187
480	1825878	1829282
484	1296007	1299510
495	388873	391978
498	533708	537045
501	786006	789368
504	179277	182708
514	2044334	2047731
528	931929	935023
557	1431794	1435201
561	97526	100877
569	165472	168891
601	352870	356207
605	146238	149925
606	806589	809993
609	600934	604300
629	1432838	1436235
636	939967	943413
639	1256442	1259841
644	650874	654294
663	1985679	1989044
670	863528	866658
672	1670734	1674159
702	26093	29259
711	810604	814049
714	1347058	1350653
719	784664	788129
772	1203349	1206756
786	1001569	1005024
796	834874	838244
805	1957146	1960563
833	285314	288714
862	1744021	1747449
865	512338	515751
874	151370	154796
878	1473047	1476450
890	1837932	1841354
906	1396246	1399657
938	757537	761018
939	838866	842333
966	322215	325639
986	1932028	1935480
990	594482	597846
997	470683	474122
1009	1552006	1555598
1012	1557545	1560973
1014	1855393	1858818
1018	2043142	2046533
1033	1027019	1030451
1045	892526	895904
1050	675471	678814
1059	1632997	1636325
1078	848518	851565
1087	1468753	1472179
1091	505627	509052
1107	731002	734171
1110	355875	359069
1115	778096	781704
1122	1492750	1496174
1127	1933477	1936808
1140	1409868	1413339
1163	1898098	1901255
1176	917029	920425
1183	1415829	1419274
1193	1137313	1140752
1195	999402	1002826
1199	1009206	1012632
1204	564201	567596
1229	1684114	1687497
1238	1855551	1859016
1239	780583	784011
1249	1754014	1757695
1258	398547	401983
1259	1757892	1761371
1269	99007	102501
1274	1839777	1843158
1298	584347	587749
1305	547368	550784
1310	414883	418387
1327	1509122	1512609
1333	702578	705805
1343	2096274	2488
1351	1259819	1263420
1359	1519440	1522813
1369	836915	840301
1376	1403095	1406467
1403	1592416	1595573
1407	430241	433369
1412	104026	107459
1459	743974	747418
1516	1745373	1748751
1523	151427	154888
1525	1256356	1260029
1526	1902640	1906062
1540	1567146	1570497
1546	320910	324317
1554	378981	382404
1557	1420534	1423868
1613	1558958	1562593
1624	1363082	1366472
1642	774100	777469
1665	1101765	1104926
1689	846871	850310
1691	1916457	1919584
1692	2078788	2082208
1703	1198417	1201823
1713	1374783	1377919
1728	1930100	1933772
1764	392055	395471
1779	1510638	1513636
1817	339148	342275
1827	1382870	1386271
1828	1283453	1287094
1844	1042829	1046518
1869	83572	86878
1877	1327043	1330491
1898	878864	881839
1909	346097	349520
1916	277419	280879
1994	794445	797838
1995	279062	282413
2016	337708	341190
2024	864369	867777
2030	479005	482447
2044	448677	452107
2055	1572717	1575881
2062	1568857	1572396
2074	1827075	1830135
2078	1642829	1646211
2082	1423578	1426949
2088	51879	55310
2094	674506	677914
2096	960842	964249
2131	168669	172185
2168	986205	989830
2177	393833	397235
2179	605040	608637
2180	1099834	1103242
2195	45112	48639
2208	1354535	1357924
2214	1438412	1441862
2244	1228189	1231584
2253	465843	469302
2257	2086350	2089688
2267	907745	911099
2280	270742	274253
2299	1236143	1239568
2300	1044686	1047769
2314	234574	238121
2320	442754	446135
2335	515172	518602
2340	1263290	1266702
2350	484983	488411
2417	1770994	1774398
2425	1032388	1035821
2432	596510	599919
2437	1621359	1624457
2439	1914128	1917537
2446	1344455	1347847
2463	1897698	1901107
2466	10532	13827
2475	731971	735395
2477	1706977	1710165
2490	1424019	1427410
2499	476104	479491
2502	358191	361564
2538	1877422	1880780
2584	1199440	1202849
2588	1833914	1837084
2602	1691605	1695049
2606	1687406	1690761
2613	312556	315882
2637	2073443	2076897
2640	510410	513553
2653	297625	301365
2656	2085179	2088609
2676	1243293	1246684
2677	2072643	2076015
2684	1744539	1747933
2690	387982	391343
2691	1419323	1422761
2738	1305050	1308191
2748	77792	81198
2775	1791102	1794729
2777	1466487	1469864
2780	1524363	1527967
2781	845828	849554
2795	1649696	1652888
2797	118327	121446
2806	1247750	1251190
2831	757307	760726
2836	1703126	1706645
2841	1506289	1509708
2859	467598	471032
2873	1514390	1517657
2899	1787310	1790507
2928	1818221	1821673
2930	1512392	1515837
2933	246885	250257
2942	499574	502975
2946	1028096	1031458
2947	1347697	1351177
2998	975794	979424
2999	226446	229623
