EVENT	TDC1	TRIG
8	2046655	2049825
25	1186668	1190099
43	803932	806883
45	575903	578850
47	23879	26933
65	892368	895167
87	578258	581187
99	556732	559694
131	1382978	1385928
169	998691	1001764
173	137185	140362
182	1350719	1353866
228	442838	446403
275	1485363	1488469
315	1623287	1626652
357	483493	486441
360	1554358	1557855
367	197484	200429
369	418849	421983
373	1185014	1188131
392	831684	834950
393	1901305	1904255
433	1296351	1299324
436	1702530	1705647
510	1120506	1123750
516	2020651	2024089
539	448719	451844
621	429198	432138
672	361795	364740
688	431290	434237
707	408429	411719
745	156011	159169
762	146751	150034
773	362699	365785
808	1253560	1256761
842	1076171	1079397
863	1018778	1021744
888	1553997	1557115
896	1100524	1104260
920	1073087	1076118
926	1145856	1148858
935	2088066	2091405
947	1799075	1802030
1011	551867	554943
1021	1132125	1135095
1070	1780804	1783775
1124	957003	960521
1178	1755251	1758236
1193	629691	632820
1202	376035	379049
1203	1448120	1451143
1211	856581	859655
1286	296867	300270
1289	1442829	1445777
1300	242916	246165
1331	2017510	2020710
1380	1308746	1311723
1457	1100098	1103270
1483	800271	803517
1489	1415191	1418153
1491	2053449	2056810
1493	418266	421699
1505	972298	975332
1509	1164486	1168232
1539	1735501	1738502
1579	1447724	1451217
1594	1941309	1944277
1595	850074	853013
1596	164232	167190
1602	1972112	1975153
1615	1223619	1226962
1629	1089087	1092066
1674	233365	236333
1700	1342926	1345904
1707	1654571	1657605
1729	966733	969672
1731	1458181	1461202
1752	1083316	1086297
1784	99660	103095
1793	1412993	1416194
1845	1171591	1174585
1865	1856233	1859776
1908	579675	582634
1912	411287	414426
1949	1135734	1138813
1955	1055708	1058979
1965	1057079	1060199
1991	1926101	1929076
1995	814496	817442
2008	621519	624470
2028	544361	547522
2055	915694	918652
2058	213050	216008
2082	261068	264015
2164	285359	288762
2166	665012	667973
2191	1117550	1120508
2212	516821	519744
2227	1287938	1290995
2247	1999416	2002381
2277	1831166	1834262
2292	1628648	1631634
2353	282377	285337
2365	107185	110147
2370	846569	849585
2399	1998012	2001585
2412	470008	473214
2419	958091	961248
2427	19328	22354
2433	140202	143542
2444	92716	95993
2447	1841698	1845202
2499	752307	755310
2516	1394382	1397330
2528	216798	219709
2542	1194011	1196937
2547	405798	408786
2608	179189	182146
2621	427445	430841
2629	1634853	1637824
2636	1934247	1937658
2639	1783076	1786317
2654	839177	842336
2663	1043014	1045969
2666	1459954	1463353
2672	680351	683302
2685	877247	880538
2688	1302970	1306037
2712	601102	604634
2732	1418670	1421636
2737	676379	679595
2747	1003050	1006009
2767	1551497	1554478
2813	1556723	1559721
2841	1336534	1339975
2848	1146462	1149416
2889	1944519	1947684
2895	1224583	1227575
2935	1623477	1626565
2998	365395	368756
3000	594846	598013
3056	2069586	2072551
3134	1978976	1982214
3154	1887085	1890137
3171	1709741	1713020
3193	2035829	2038786
3217	184285	187590
3240	1964630	1967803
3276	1123812	1126774
3279	1988259	1991337
3285	1821267	1824551
3300	1372811	1375722
3310	1387662	1391041
3320	1726958	1729910
3337	621189	624155
3351	1641222	1644319
3386	1287090	1290043
3393	990867	994141
3433	348219	351178
3463	1223166	1226257
3475	1765959	1769093
3493	889716	892895
3497	942386	945648
3527	1891010	1893970
3540	16418	19346
3609	933708	936871
3613	1521821	1525201
3690	2095334	1128
3725	205865	209220
3741	1498849	1502153
3764	905681	908662
3777	2041866	2044824
3784	1132182	1135210
3799	158089	161397
3816	1290523	1293446
3826	1402977	1405984
3848	237491	240701
3863	772391	775410
3885	1739877	1742851
3891	1878357	1881603
3895	1946467	1949661
3897	577042	580345
3912	597077	600059
3930	1015747	1019310
3933	1832163	1835651
3948	642300	645681
3961	1777846	1780811
3974	4992	8312
3997	496759	500120
4001	419966	423133
4066	1075802	1078796
4123	959340	962284
4128	1473613	1476952
4152	481339	484313
4156	91805	95125
4191	478471	481430
4230	1583060	1586582
4248	217808	220784
4256	272420	275800
4275	131731	134903
4313	176920	179877
4335	1038501	1041532
4353	1234135	1237464
4394	1875522	1878478
4411	1648514	1651587
4417	462506	465513
4420	1485076	1488610
4425	1157216	1160189
4449	297005	299949
4451	1866251	1869234
4455	242216	245431
4467	1013230	1016633
4479	310089	313074
4489	800489	803447
4510	981038	984532
4526	1241074	1244056
4558	1775540	1778577
4580	39477	42426
4586	1681562	1684850
4593	2096235	2028
4665	1126711	1129972
4702	1430737	1433707
4765	83087	86075
4768	337430	340775
4780	50727	53692
4786	1965754	1969182
4814	1811442	1814743
4839	1637197	1640476
4861	1801751	1805342
4902	508114	511804
4918	781539	784466
4937	1340030	1343165
4944	1226527	1229574
4946	851206	854636
4989	1658894	1661867
5003	690885	693944
5017	1494710	1497650
5036	1756682	1759649
5042	1786759	1789723
5054	146542	149742
5083	1032437	1035507
5108	213895	217185
5120	1736363	1739317
5140	1002765	1006239
5149	76030	79400
5160	698926	701926
5204	1441872	1444835
5219	1068952	1072121
5221	1997123	2000158
5230	496825	499765
5237	1083205	1086210
