EVENT	TDC1	TRIG
0	38029	41316
1	134795	137946
2	919264	922427
3	130319	133803
4	1741186	1744561
5	1093770	1096814
6	245072	248241
11	1177397	1180447
13	1723252	1726732
15	1242867	1246202
16	1976554	1980010
17	151025	154212
18	713800	716830
21	427885	430934
25	1107136	1110313
26	899364	902424
27	382279	385341
29	876361	879444
30	1662818	1665995
32	42573	45632
35	669323	672383
36	49142	52375
38	319692	322736
40	733169	736297
41	606006	609210
42	743164	746464
43	300005	303116
44	1697509	1700662
45	1219394	1222950
51	1533526	1536732
53	1801397	1804511
54	772100	775209
55	816000	819299
56	1037760	1040824
58	435626	438982
59	1859303	1862343
60	2085362	2088664
61	1620093	1623494
62	369444	372588
67	1433049	1436078
68	1640872	1644017
69	1819182	1822317
71	11162	14423
72	1499273	1502650
73	1875781	1878956
75	895546	898590
76	1892655	1895703
79	190926	194449
80	898603	901644
83	934960	938034
84	249388	252776
86	4959	8379
87	61604	64659
92	1868897	1871961
93	1125178	1128308
95	1414245	1417490
100	1903533	1906577
102	637330	640354
106	349338	352984
107	1770677	1773729
109	1376280	1379350
113	737823	741048
114	59646	62849
116	382771	385811
117	1661096	1664839
118	350598	354012
120	1226604	1229661
124	1336344	1339967
125	30037	33340
126	363753	367115
127	2012799	2015853
128	1052275	1055342
129	414862	418487
135	907971	911014
136	2032725	2035792
138	1845144	1848452
140	1851860	1854954
142	1480404	1483621
144	1521900	1525116
147	722922	725963
148	685618	688695
149	622279	625410
152	868750	871840
153	245712	249034
155	1894243	1897368
158	1611821	1615086
159	465286	468426
160	1629689	1632919
161	745969	749299
164	108051	111464
166	344587	348103
168	732500	735579
171	1080808	1083897
174	577807	581277
175	225935	229274
177	1885453	1888512
179	1369506	1372562
181	1688032	1691397
183	1170400	1173619
184	905726	909058
185	1511454	1514743
186	1526661	1529730
188	1438367	1441645
189	242298	245305
190	1042421	1045454
192	1594107	1597477
193	814572	817915
194	1514482	1517491
195	302907	306265
196	1235304	1238368
198	209154	212528
199	355754	358862
203	1366531	1369788
206	1581126	1584552
207	1302039	1305424
208	904996	908070
212	474252	477284
213	1667414	1670486
216	324543	327696
217	142932	146035
218	2047531	2050707
221	2032080	2035193
223	1759016	1762403
225	406352	409521
228	1915167	1918200
230	1783949	1787095
231	489449	492772
232	771148	774259
233	679855	683366
234	1023718	1027645
235	649472	652847
236	1276017	1279175
237	298258	301299
238	758494	761609
241	1283522	1286560
242	243458	246622
244	1518296	1521380
245	883965	887009
247	1049632	1053033
249	292326	295381
251	1803350	1806440
252	839907	843687
253	1569717	1572753
254	524148	527203
260	628804	631835
261	830066	833370
262	89238	92333
263	1974971	1978322
264	1143793	1146826
273	2033420	2036610
274	1074887	1077935
276	5064	8171
277	681463	684630
279	1806092	1809413
282	1004530	1007859
283	491024	494115
284	196470	199517
285	2045005	2048437
286	1207388	1210834
288	605677	608951
295	1573947	1577025
296	2002091	2005149
298	1683846	1687047
301	1626853	1630176
305	1637141	1640202
306	1755683	1758777
310	2069801	2072860
311	1219390	1222925
312	250350	253398
313	520908	523981
314	762457	765512
315	1172293	1175466
316	281002	284244
317	1840782	1843857
318	1434990	1438165
319	444638	447869
320	324994	328047
323	397098	400500
324	1387372	1390429
327	664980	668353
328	1450861	1453913
334	1855293	1858518
335	1702666	1706252
337	159238	162343
338	136349	139598
341	1057162	1060212
346	675135	678500
350	1405728	1408908
351	1914980	1918292
352	1067971	1070985
353	1459767	1463036
354	812231	815632
355	584327	587391
357	1897428	1900859
359	954469	957514
365	1214557	1217751
367	1390460	1393477
369	69551	72861
371	16100	19331
372	1860666	1864684
374	1773260	1776325
375	701283	704648
376	1121365	1124435
381	930329	933373
382	1960111	1963412
385	658224	661281
387	83085	86388
388	1305290	1308672
389	1826119	1829170
391	414038	417197
392	365868	369026
394	1448466	1451697
395	703455	706720
397	767436	770760
398	899392	902817
400	1689564	1692614
401	1437695	1440898
403	1559277	1562463
407	1477394	1481078
408	941398	944438
412	94444	97734
413	224479	227732
415	55414	58697
418	1744356	1747471
421	1874930	1878166
422	1015490	1018547
423	1410375	1413695
424	588799	591969
426	517831	521569
428	1911206	1914316
430	1971949	1974993
435	1898250	1901627
437	2026478	2029546
439	367242	370322
440	724327	727528
441	133867	137297
442	837716	841119
445	1468360	1471682
448	450142	453526
450	300458	303600
452	425911	428967
453	1345830	1348905
457	1816174	1819530
458	351618	355025
461	609033	612211
464	1406121	1409303
465	767798	771200
467	698120	701217
468	615067	618359
469	1565881	1569345
470	599907	603244
474	1796550	1799896
477	163213	166620
478	664808	668108
481	1155788	1158969
482	1803417	1806694
485	909778	912896
486	859212	862249
489	2074691	2077902
491	1014390	1017558
499	261427	264743
501	1633939	1636994
502	10791	13833
503	112287	115322
504	1419269	1422388
508	2047698	2050864
514	1480204	1483539
515	1228496	1231547
516	1755466	1758519
517	179630	182784
518	863427	866706
519	2036490	2039867
520	1390327	1393376
521	97931	101353
523	1048822	1052036
524	1444206	1447430
525	1962438	1965776
526	1317478	1320879
527	731654	735001
529	521902	524961
532	1825411	1828471
534	417240	420288
535	686466	689628
536	1310962	1314365
537	86903	90043
539	930723	933823
540	1932306	1935377
542	574909	578207
544	1215151	1218203
548	695235	698409
549	388739	391785
550	645277	648609
551	1799574	1803116
552	643227	646355
554	1406457	1409732
555	1220888	1223934
556	1353505	1356882
557	602435	605602
560	761194	764298
561	811045	814249
562	16536	19543
563	1112239	1115443
564	967381	970502
565	660810	663988
569	881468	884848
571	1268405	1271665
575	1298999	1302332
578	1453871	1456921
579	713304	716500
580	625837	628936
581	61569	64607
582	1237703	1240827
585	725484	728552
586	47995	51254
587	1393984	1397267
588	122382	125769
589	1778125	1781453
590	221654	224740
591	16899	20337
595	1986197	1989499
597	1219149	1222571
598	1627811	1631158
599	846613	849721
600	13890	16921
601	390311	393737
602	568368	571481
603	240322	243658
607	307039	310191
608	598074	601127
613	1856597	1859664
614	1749785	1753282
615	150990	154015
617	1697748	1701071
618	108713	112028
619	388550	391701
621	1579751	1583002
624	671506	674823
625	1413281	1416854
626	934057	937296
628	329905	333172
635	1685151	1688537
636	1720596	1723937
637	1758665	1761945
638	1835376	1838538
644	1254455	1257603
645	1568823	1571840
646	1384026	1387183
651	686751	689827
652	1999502	2002717
653	1820511	1823576
656	2037378	2040487
657	2051730	2054789
659	580654	583706
660	1752450	1755914
666	370186	373518
668	1782778	1786074
669	1277559	1280802
670	1718939	1722003
679	1445700	1448728
682	1953833	1957534
684	1263662	1266890
685	1814434	1817460
686	245178	248260
689	1224106	1227335
692	1708470	1711580
693	1798440	1801733
694	1703945	1707022
695	1069060	1072103
697	1090137	1093594
704	974210	977296
705	1589043	1592463
706	550510	553629
707	1989082	1992088
708	1762034	1765309
709	438018	441170
710	1146518	1149559
712	526978	530163
714	1495623	1498911
715	202161	205355
719	79066	82340
721	1861873	1865582
722	1155924	1159274
724	2077268	2080313
725	1809129	1812306
727	2057358	2060688
729	335845	338894
731	1877351	1880526
732	1633328	1636411
733	1668675	1672018
735	1871906	1875060
736	235849	239680
737	1235069	1238171
